State,Years,Percentage,Race
Washington,2021,30.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2020,43.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2019,42.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2018,35.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2017,15.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2016,36.60%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Washington,2015,32.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2022,19.90%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2021,15.30%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2020,10.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2019,7.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2018,14.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2017,13.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2016,11.80%,"Native Hawaiian and Other Pacific 
                Islander Alone"
West Virginia,2015,13.10%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2020,4.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wisconsin,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2022,16.20%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2020,13.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2018,27.70%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Wyoming,2015,43.40%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2022,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2021,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2020,7.50%,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2019,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2018,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2017,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2016,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Puerto Rico,2015,N,"Native Hawaiian and Other Pacific 
                Islander Alone"
Alabama,2022,12.90%,Some other race Alone
Alabama,2021,15.90%,Some other race Alone
Alabama,2020,9.00%,Some other race Alone
Alabama,2019,10.10%,Some other race Alone
Alabama,2018,10.10%,Some other race Alone
Alabama,2017,5.20%,Some other race Alone
Alabama,2016,9.20%,Some other race Alone
Alabama,2015,6.60%,Some other race Alone
Alaska,2022,24.70%,Some other race Alone
Alaska,2021,14.90%,Some other race Alone
Alaska,2020,16.20%,Some other race Alone
Alaska,2019,15.50%,Some other race Alone
Alaska,2018,15.00%,Some other race Alone
Alaska,2017,5.60%,Some other race Alone
Alaska,2016,6.60%,Some other race Alone
Alaska,2015,19.10%,Some other race Alone
Arizona,2022,12.90%,Some other race Alone
Arizona,2021,13.40%,Some other race Alone
Arizona,2020,10.00%,Some other race Alone
Arizona,2019,10.80%,Some other race Alone
Arizona,2018,8.60%,Some other race Alone
Arizona,2017,9.00%,Some other race Alone
Arizona,2016,7.00%,Some other race Alone
Arizona,2015,7.70%,Some other race Alone
Arkansas,2022,10.00%,Some other race Alone
Arkansas,2021,8.50%,Some other race Alone
Arkansas,2020,14.60%,Some other race Alone
Arkansas,2019,5.60%,Some other race Alone
Arkansas,2018,9.80%,Some other race Alone
Arkansas,2017,8.50%,Some other race Alone
Arkansas,2016,6.70%,Some other race Alone
Arkansas,2015,6.60%,Some other race Alone
California,2022,11.40%,Some other race Alone
California,2021,11.20%,Some other race Alone
California,2020,10.10%,Some other race Alone
California,2019,10.30%,Some other race Alone
California,2018,9.50%,Some other race Alone
California,2017,9.00%,Some other race Alone
California,2016,8.40%,Some other race Alone
California,2015,8.40%,Some other race Alone
Colorado,2022,16.20%,Some other race Alone
Colorado,2021,17.70%,Some other race Alone
Colorado,2020,13.30%,Some other race Alone
Colorado,2019,14.40%,Some other race Alone
Colorado,2018,12.40%,Some other race Alone
Colorado,2017,12.20%,Some other race Alone
Colorado,2016,11.60%,Some other race Alone
Colorado,2015,11.50%,Some other race Alone
Connecticut,2022,16.30%,Some other race Alone
Connecticut,2021,14.40%,Some other race Alone
Connecticut,2020,11.30%,Some other race Alone
Connecticut,2019,13.20%,Some other race Alone
Connecticut,2018,11.70%,Some other race Alone
Connecticut,2017,9.00%,Some other race Alone
Connecticut,2016,10.30%,Some other race Alone
Connecticut,2015,10.50%,Some other race Alone
Delaware,2022,19.40%,Some other race Alone
Delaware,2021,10.90%,Some other race Alone
Delaware,2020,18.50%,Some other race Alone
Delaware,2019,14.20%,Some other race Alone
Delaware,2018,9.20%,Some other race Alone
Delaware,2017,6.40%,Some other race Alone
Delaware,2016,11.90%,Some other race Alone
Delaware,2015,11.10%,Some other race Alone
Florida,2022,54.50%,Some other race Alone
Florida,2021,36.80%,Some other race Alone
Florida,2020,27.60%,Some other race Alone
Florida,2019,35.70%,Some other race Alone
Florida,2018,32.00%,Some other race Alone
Florida,2017,25.30%,Some other race Alone
Florida,2016,21.30%,Some other race Alone
Florida,2015,28.60%,Some other race Alone
Georgia,2022,22.70%,Some other race Alone
Georgia,2021,20.40%,Some other race Alone
Georgia,2020,18.40%,Some other race Alone
Georgia,2019,18.60%,Some other race Alone
Georgia,2018,16.70%,Some other race Alone
Georgia,2017,16.60%,Some other race Alone
Georgia,2016,17.00%,Some other race Alone
Georgia,2015,18.50%,Some other race Alone
Hawaii,2022,14.40%,Some other race Alone
Hawaii,2021,17.90%,Some other race Alone
Hawaii,2020,12.30%,Some other race Alone
Hawaii,2019,12.80%,Some other race Alone
Hawaii,2018,12.90%,Some other race Alone
Hawaii,2017,11.40%,Some other race Alone
Hawaii,2016,8.40%,Some other race Alone
Hawaii,2015,11.80%,Some other race Alone
Idaho,2022,24.40%,Some other race Alone
Idaho,2021,28.50%,Some other race Alone
Idaho,2020,26.00%,Some other race Alone
Idaho,2019,21.60%,Some other race Alone
Idaho,2018,30.10%,Some other race Alone
Idaho,2017,21.30%,Some other race Alone
Idaho,2016,10.70%,Some other race Alone
Idaho,2015,42.50%,Some other race Alone
Illinois,2022,11.10%,Some other race Alone
Illinois,2021,13.10%,Some other race Alone
Illinois,2020,5.30%,Some other race Alone
Illinois,2019,5.70%,Some other race Alone
Illinois,2018,5.90%,Some other race Alone
Illinois,2017,6.10%,Some other race Alone
Illinois,2016,5.70%,Some other race Alone
Illinois,2015,4.10%,Some other race Alone
Indiana,2022,13.40%,Some other race Alone
Indiana,2021,12.40%,Some other race Alone
Indiana,2020,10.10%,Some other race Alone
Indiana,2019,11.60%,Some other race Alone
Indiana,2018,8.10%,Some other race Alone
Indiana,2017,9.00%,Some other race Alone
Indiana,2016,7.90%,Some other race Alone
Indiana,2015,8.00%,Some other race Alone
Iowa,2022,15.50%,Some other race Alone
Iowa,2021,13.10%,Some other race Alone
Iowa,2020,10.50%,Some other race Alone
Iowa,2019,9.90%,Some other race Alone
Iowa,2018,6.80%,Some other race Alone
Iowa,2017,9.60%,Some other race Alone
Iowa,2016,10.30%,Some other race Alone
Iowa,2015,9.10%,Some other race Alone
Kansas,2022,18.50%,Some other race Alone
Kansas,2021,17.10%,Some other race Alone
Kansas,2020,13.00%,Some other race Alone
Kansas,2019,9.30%,Some other race Alone
Kansas,2018,13.00%,Some other race Alone
Kansas,2017,8.90%,Some other race Alone
Kansas,2016,11.20%,Some other race Alone
Kansas,2015,7.30%,Some other race Alone
Kentucky,2022,14.60%,Some other race Alone
Kentucky,2021,9.90%,Some other race Alone
Kentucky,2020,10.20%,Some other race Alone
Kentucky,2019,9.30%,Some other race Alone
Kentucky,2018,9.10%,Some other race Alone
Kentucky,2017,9.20%,Some other race Alone
Kentucky,2016,9.40%,Some other race Alone
Kentucky,2015,8.00%,Some other race Alone
Louisiana,2022,23.60%,Some other race Alone
Louisiana,2021,14.20%,Some other race Alone
Louisiana,2020,10.90%,Some other race Alone
Louisiana,2019,7.30%,Some other race Alone
Louisiana,2018,10.60%,Some other race Alone
Louisiana,2017,15.60%,Some other race Alone
Louisiana,2016,10.40%,Some other race Alone
Louisiana,2015,10.00%,Some other race Alone
Maine,2022,15.70%,Some other race Alone
Maine,2021,14.20%,Some other race Alone
Maine,2020,9.50%,Some other race Alone
Maine,2019,13.60%,Some other race Alone
Maine,2018,6.10%,Some other race Alone
Maine,2017,10.80%,Some other race Alone
Maine,2016,7.30%,Some other race Alone
Maine,2015,9.60%,Some other race Alone
Maryland,2022,42.10%,Some other race Alone
Maryland,2021,44.20%,Some other race Alone
Maryland,2020,42.60%,Some other race Alone
Maryland,2019,19.00%,Some other race Alone
Maryland,2018,N,Some other race Alone
Maryland,2017,N,Some other race Alone
Maryland,2016,39.80%,Some other race Alone
Maryland,2015,N,Some other race Alone
Massachusetts,2022,13.70%,Some other race Alone
Massachusetts,2021,14.20%,Some other race Alone
Massachusetts,2020,12.50%,Some other race Alone
Massachusetts,2019,10.40%,Some other race Alone
Massachusetts,2018,11.20%,Some other race Alone
Massachusetts,2017,10.50%,Some other race Alone
Massachusetts,2016,10.20%,Some other race Alone
Massachusetts,2015,11.70%,Some other race Alone
Michigan,2022,18.10%,Some other race Alone
Michigan,2021,18.60%,Some other race Alone
Michigan,2020,13.50%,Some other race Alone
Michigan,2019,16.10%,Some other race Alone
Michigan,2018,12.60%,Some other race Alone
Michigan,2017,10.90%,Some other race Alone
Michigan,2016,11.20%,Some other race Alone
Michigan,2015,14.40%,Some other race Alone
Minnesota,2022,23.80%,Some other race Alone
Minnesota,2021,19.30%,Some other race Alone
Minnesota,2020,21.40%,Some other race Alone
Minnesota,2019,19.50%,Some other race Alone
Minnesota,2018,19.20%,Some other race Alone
Minnesota,2017,14.60%,Some other race Alone
Minnesota,2016,12.60%,Some other race Alone
Minnesota,2015,15.80%,Some other race Alone
Mississippi,2022,17.90%,Some other race Alone
Mississippi,2021,19.40%,Some other race Alone
Mississippi,2020,14.40%,Some other race Alone
Mississippi,2019,14.30%,Some other race Alone
Mississippi,2018,11.50%,Some other race Alone
Mississippi,2017,11.00%,Some other race Alone
Mississippi,2016,10.80%,Some other race Alone
Mississippi,2015,13.30%,Some other race Alone
Missouri,2022,11.80%,Some other race Alone
Missouri,2021,23.30%,Some other race Alone
Missouri,2020,10.90%,Some other race Alone
Missouri,2019,8.20%,Some other race Alone
Missouri,2018,11.90%,Some other race Alone
Missouri,2017,11.90%,Some other race Alone
Missouri,2016,4.50%,Some other race Alone
Missouri,2015,3.40%,Some other race Alone
Montana,2022,18.90%,Some other race Alone
Montana,2021,23.70%,Some other race Alone
Montana,2020,15.90%,Some other race Alone
Montana,2019,15.40%,Some other race Alone
Montana,2018,15.40%,Some other race Alone
Montana,2017,12.10%,Some other race Alone
Montana,2016,19.00%,Some other race Alone
Montana,2015,12.60%,Some other race Alone
Nebraska,2022,44.20%,Some other race Alone
Nebraska,2021,28.80%,Some other race Alone
Nebraska,2020,32.30%,Some other race Alone
Nebraska,2019,33.90%,Some other race Alone
Nebraska,2018,32.20%,Some other race Alone
Nebraska,2017,13.00%,Some other race Alone
Nebraska,2016,22.00%,Some other race Alone
Nebraska,2015,2.80%,Some other race Alone
Nevada,2022,8.50%,Some other race Alone
Nevada,2021,12.90%,Some other race Alone
Nevada,2020,9.80%,Some other race Alone
Nevada,2019,7.80%,Some other race Alone
Nevada,2018,10.70%,Some other race Alone
Nevada,2017,5.40%,Some other race Alone
Nevada,2016,7.20%,Some other race Alone
Nevada,2015,6.20%,Some other race Alone
New Hampshire,2022,7.20%,Some other race Alone
New Hampshire,2021,9.70%,Some other race Alone
New Hampshire,2020,7.90%,Some other race Alone
New Hampshire,2019,7.50%,Some other race Alone
New Hampshire,2018,8.00%,Some other race Alone
New Hampshire,2017,7.50%,Some other race Alone
New Hampshire,2016,6.40%,Some other race Alone
New Hampshire,2015,5.80%,Some other race Alone
New Jersey,2022,30.30%,Some other race Alone
New Jersey,2021,33.00%,Some other race Alone
New Jersey,2020,25.10%,Some other race Alone
New Jersey,2019,22.70%,Some other race Alone
New Jersey,2018,13.50%,Some other race Alone
New Jersey,2017,22.80%,Some other race Alone
New Jersey,2016,50.70%,Some other race Alone
New Jersey,2015,23.90%,Some other race Alone
New Mexico,2022,16.60%,Some other race Alone
New Mexico,2021,15.90%,Some other race Alone
New Mexico,2020,12.80%,Some other race Alone
New Mexico,2019,12.60%,Some other race Alone
